GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,18,93,2,2,2,21,4,7,2,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,16,112,1,3,1,26,3,8,2,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,18,93,2,2,2,21,4,7,2,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,14,99,0,4,0,23,2,9,2,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,16,95,1,3,1,22,3,8,2,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,18,93,2,2,2,21,4,7,2,7
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,23,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,23,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,UserService,0,37,0,2,0,11,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,23,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,23,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.config,PasswordConstraintValidator,2,10,1,1,1,4,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.config,SpringSecurityConfig,0,81,0,0,0,17,0,7,0,7
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,53,0,0,0,22,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,73,0,0,0,31,0,16,0,16
spring-boot-skeleton,com.nnk.springboot.domain,BidList,126,43,0,0,54,18,36,10,36,10
spring-boot-skeleton,com.nnk.springboot.domain,Trade,119,43,0,0,51,18,34,10,34,10
spring-boot-skeleton,com.nnk.springboot.domain,User,0,71,0,0,0,28,0,17,0,17
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,14,43,0,0,6,18,4,10,4,10
